ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
294     .2       A-14632-3         "mtg bracket clamp assy-3/4"""                   10
295     ..3      03-7655-12        "clamp cable 3/4""dia"                           10
296     ..3      4006-01027-06     ms 6-32X3/8 p-rwh                                10
297     ..3      01-10724-1        brkt cable                                       10
298     .2       A-14945           fish reel unit assy                               1
299     ..3      14-7967           motor-50v                                         1
300     ..3      A-14948           wheel brkt assy                                   1
301     ..3      03-8705           pulley-wheel                                      1
302     ..3      03-8614           belt-drive                                        1
303     ..3      03-8612           wheel-fishing reel                                1
304     ..3      4700-00072-00     fw .265X.500X.032                                 2
305     ..3      20-8712-25        e ring 1/4 shaft                                  1
306     ..3      A-14232           photo trans assy                                  2
307     ...4     5768-13154-04     pcb-phot trans                                    0
308     ...4     5163-12732-00     trans npn photo                                   0
309     ....5    5163-14114-00     trans-photo infra red T1&3/4                      0
310     ..3      A-14231           led assy                                          2
311     ...4     5671-12731-00     led diode infra red                               0
312     ...4     5768-13155-02     pcb-single IR LED (green mask)                    0
313     ..3      4106-01114-08     tcs #6X1/2 pl-hwh t-17                            8
314     ..3      01-10378          brkt wheel opto                                   1
315     ..3      4008-01076-06     ss 8-32x3/8sh-cp                                  1
316     ..3      02-4290           collar                                            1
317     ..3      03-8086           pulley                                            1
318     ..3      4010-01006-10     ms 10-32X5/8 p-ph-s                               4
319     ..3      4008-01017-04     ms 8-32X1/4 p-rh-s                                4
320     ..3      01-10533          brkt wheel opto top                               1
321     ..3      31-1683-3         decal-playfield                                   1
322     ..3      31-1694-2         decal-fish reel                                   1
323     ..3      03-8506-1         base-opto mtg-white                               2
324     ..3      03-8506           base-opto mtg-black                               2
325     ..3      4104-01001-06     sms #4X3/8 p-ph-a                                 4
326     ..3      H-15606           opto switch cable                                 1
327     ...4     03-7520-2         tie wrap-nylon 3 7/8                              6
328     ...4     H-15606-C         opto switch cable-cut wire                        1
329     ....5    CW-30022-2        wire 22awg red                                   32
330     ....5    CW-30022-0        wire 22awg black                                 32
331     ....5    CW-30022-53       wire 22awg grn/org                               32
332     ....5    CW-30022-97       wire 22awg wht/vio                               16
333     ....5    CW-30022-98       wire 22awg wht/gry                               16
334     ...4     5792-10817-05     5r mt/end 22/156                                  2
335     ...4     5823-10820-00     "plz key mt .156"""                               2
336     ..3      03-7520-2         tie wrap-nylon 3 7/8                              1
337     .2       A-14947           catapult unit assy                                1
338     ..3      A-14946           catapult brkt assy                                1
339     ..3      23-6577           rubber bumper plug 5/8                            1
340     ..3      03-8089           catapult arm                                      1
341     ..3      A-12293           catapult plunger assy                             1
342     ...4     02-4347           plunger solenoid                                  1
343     ...4     20-9370-1         pin spl 5/32 x 7/16                               1
344     ...4     03-8050-1         flipper link                                      1
345     ..3      02-4301           pin catapult arm                                  1
346     ..3      10-135            spring-plunger                                    1
347     ..3      01-8413           brkt coil mtg                                     1
348     ..3      AL-23-800         coil assembly                                     1
349     ...4     A-22248           bobbin assy-small/2-left                          0
350     ....5    03-7041-1         bobbin                                            0
351     ....5    01-14673          terminal coil                                     0
352     ....5    07-6688-17        rivet 5/32X1/8                                    0
353     ...4     MW-130-23         magnet wire-130deg c sns 23ga                     0
354     ...4     16-8943-2         coil tape-1 3/8 wide                              0
355     ..3      A-10821           flpr stop bkt assy                                1
356     ..3      5647-12133-12     switch mini micro                                 1
357     ..3      A-7438-1          terminal strp assy                                1
358     ..3      5070-09054-00     diode-1N4004 1.0a                                 1
359     ..3      4008-01017-04     ms 8-32X1/4 p-rh-s                                2
360     ..3      4010-01066-06     cs 10-32 X 3/8 sh                                 2
361     ..3      4701-00004-00     lw #10 split                                      2
362     ..3      4004-01003-10     ms 4-40X5/8 p-ph-s                                2
363     ..3      4700-00104-00     fw .361X.500X.059                                 2
364     ..3      20-8712-31        e ring 5/16 shaft                                 2
365     ..3      03-7066           tubing-coil                                       1
366     ..3      23-6622           tape-double sided                                 1
367     ..3      H-19523           2 pin cable-solenoid                              1
368     ...4     5791-12570-00     1545-Z 03-09-2022                                 1
369     ...4     5820-09080-00     terminal-pm1190 02-09-2101                        2
370     ...4     HW-30018-2        wire 18awg red                                    3
371     ...4     HW-30018-7        wire 18awg violet                                 3
372     ..3      H-16437           mini switch cable                                 1
373     ...4     5791-10772-00     2P11625 03-06-2023                                1
374     ...4     5820-09078-00     pm1560 02-06-2101                                 2
375     ...4     03-7520-2         tie wrap-nylon 3 7/8                              1
376     ...4     CW-30022-5        wire 22awg green                                3.5
377     ...4     CW-30022-9        wire 22awg white                                3.5
378     .2       A-15069           ball guide assy                                   1
379     .2       A-15055           boat ramp assy                                    1
380     ..3      03-8637           ramp-boat                                         1
381     ..3      01-10439          flap-ramp                                         1
382     ..3      31-1676-9         plfd plastic-fishtales                            1
383     ..3      31-1676-10        plfd plastic-fishtales                            1
