ITEM #  LEVEL    PART NUMBER       DESCRIPTION                                   #USED
1108    .2       B-10732-L         ball gate assy-l                                  1
1109    ..3      01-6935           flap-ball gate                                    1
1110    ..3      01-6938-1         brkt gate mtg                                     1
1111    ..3      12-6657-L         gate-wire                                         1
1112    ..3      12-6882-1         wire hinge pin 1 3/4                              1
1113    .2       B-12030-1         jet bumper-leaf switch assy                       1
1114    ..3      A-16443           jet bumper switch & diode assy                    1
1115    ...4     SW-11A-37         switch-jet bumper                                 1
1116    ....5    A-8198            blade & contact assy                              1
1117    .....6   06-1-14           blade-contact                                     1
1118    .....6   5860-09374-00     cp prec met 7309fs                                1
1119    ....5    A-8199            blade & contact assy                              1
1120    .....6   06-68D-8          blade-contact                                     1
1121    .....6   5860-09374-00     cp prec met 7309fs                                1
1122    ....5    01-916-Q          "spacer- 1/64"""                                  1
1123    ....5    01-916-H          "spacer- 3/32"""                                  3
1124    ....5    01-916-S          "spacer-tight 1/16"""                             2
1125    ....5    03-7007-7A        "tubing 15/32"" LONG"                             2
1126    ....5    06-17             blade-side lug                                    1
1127    ....5    06-21B-12         blade-contact                                     1
1128    ...4     5070-09054-00     diode-1N4004 1.0a                                 1
1129    ..3      01-1168           brkt bumper switch mounting                       1
1130    ..3      01-3670           plate-switch curved                               1
1131    ..3      03-7395           switch actuator                                   1
1132    ..3      4005-01003-12     ms 5-40x3/4 p-phs                                 2
1133    ..3      4405-01117-00     nut 5-40 hex                                      2
1134    .2       B-12030-2         jet bumper-leaf switch assy                       2
1135    ..3      A-16443           jet bumper switch & diode assy                    2
1136    ...4     SW-11A-37         switch-jet bumper                                 2
1137    ....5    A-8198            blade & contact assy                              2
1138    .....6   06-1-14           blade-contact                                     2
1139    .....6   5860-09374-00     cp prec met 7309fs                                2
1140    ....5    A-8199            blade & contact assy                              2
1141    .....6   06-68D-8          blade-contact                                     2
1142    .....6   5860-09374-00     cp prec met 7309fs                                2
1143    ....5    01-916-Q          "spacer- 1/64"""                                  2
1144    ....5    01-916-H          "spacer- 3/32"""                                  6
1145    ....5    01-916-S          "spacer-tight 1/16"""                             4
1146    ....5    03-7007-7A        "tubing 15/32"" LONG"                             4
1147    ....5    06-17             blade-side lug                                    2
1148    ....5    06-21B-12         blade-contact                                     2
1149    ...4     5070-09054-00     diode-1N4004 1.0a                                 2
1150    ..3      01-1168           brkt bumper switch mounting                       2
1151    ..3      01-3670           plate-switch curved                               2
1152    ..3      03-7395           switch actuator                                   2
1153    ..3      4005-01003-12     ms 5-40x3/4 p-phs                                 4
1154    ..3      4405-01117-00     nut 5-40 hex                                      4
1155    .2       B-12665           nylon kicker assy                                 2
1156    ..3      A-12664           crank assy                                        2
1157    ..3      A-5653            kickr mtg bkt assy                                2
1158    ..3      12-6227           clip-hair pin                                     4
1159    ..3      4700-00030-00     fw .265X.500X.067                                 2
1160    ..3      03-8085           armature link                                     2
1161    ..3      02-2364           plunger-coil                                      2
1162    ..3      20-8716-5         pin roll 1/8 x 7/16                               2
1163    .2       B-8925            micro switch plate assy                           1
1164    ..3      A-8924            mtg plate assy                                    1
1165    ..3      23-6716-2         "tubing-clear 1 1/2"""                            2
1166    ..3      4004-01003-10     ms 4-40X5/8 p-ph-s                                4
1167    ..3      4005-01005-02     ms 5-40X1/8 p-ph                                  4
1168    ..3      5070-09054-00     diode-1N4004 1.0a                                 2
1169    ..3      5647-09957-00     switch micro E21-50H                              2
1170    ..3      5825-09372-00     #6 solder lug-bent                                2
1171    ..3      12-6546           wire-switch                                       1
1172    ..3      12-6547           wire-switch                                       1
1173    ..3      01-60-A           brkt wire mtg                                     1
1174    ..3      01-60-F           brkt wire mtg                                     1
1175    .2       B-8623            runway ball guide w/baffle                        1
1176    .2       B-9414-3          jet bumper assy-red wafer                         3
1177    ..3      A-4754            bumper ring assy                                  3
1178    ..3      03-6009-A5        bumper wht base                                   3
1179    ..3      03-6035-4         wafer-jet bumper red                              3
1180    ..3      03-7443-5         bumper body wht                                   3
1181    ..3      10-7              spring-jet bumper                                 3
1182    ..3      24-8776           socket-wedge base                                 3
1183    ..3      24-8768           bulb #555 6.3Volts .25Amps                        3
1184    .2       CW-30022-4        wire 22awg yellow                                50
1185    .2       C-9638            outhole eject assy                                1
1186    ..3      A-6949-L          spring plate assy                                 1
1187    ..3      A-8247            eject cam assy                                    1
1188    ..3      A-18146           mtg brkt assy                                     1
1189    ..3      10-362            spring-eject (plain)                              1
1190    ..3      12-6227           clip-hair pin                                     2
1191    ..3      4700-00030-00     fw .265X.500X.067                                 1
1192    ..3      4700-00103-00     fw .265X.500X.015                                 1
1193    ..3      02-3407-2         plunger coil 2-1/8                                1
1194    ..3      03-8085           armature link                                     1
1195    ..3      20-8716-5         pin roll 1/8 x 7/16                               1
1196    .2       D-11335-1         ball popper assy                                  1
1197    ..3      A-11336           armature assy                                     1
1198    ..3      AE-24-900         coil sub-assy                                     1
1199    ...4     A-22181           small bobbin assy                                 0
1200    ....5    03-7041-1         bobbin                                            0
1201    ....5    01-14673          terminal coil                                     0
1202    ....5    07-6688-17        rivet 5/32X1/8                                    0
1203    ...4     MW-130-24         magnet wire-130deg c sns 24ga                     0
1204    ...4     16-8943-4         coil tape-1 3/8 wide                              0
1205    ..3      B-11631           b/pop brkt sub-assy                               1
1206    ...4     01-8466           brkt mtg                                          1
1207    ...4     02-4299           pin locating                                      2
1208    ..3      01-9794           brkt mtg                                          1
1209    ..3      03-7067           tubing-coil                                       1
1210    ..3      03-8053           cap-ball popper                                   1
1211    ..3      10-135            spring-plunger                                    1
1212    ..3      20-9314-7         pin dowel 3/32 x 1/2                              1
1213    ..3      23-6420           grommet                                           1
1214    ..3      4008-01017-04     ms 8-32X1/4 p-rh-s                                2
1215    .2       H-15466           plfd switch cable                                 1
1216    ..3      H-15466-C         plfd switch cable-cut wire                        1
1217    ...4     CW-30022-91       wire 22awg wht/brn                              131
1218    ...4     CW-30022-92       wire 22awg wht/red                              151
1219    ...4     CW-30022-93       wire 22awg wht/org                              164
1220    ...4     CW-30022-94       wire 22awg wht/yel                              147
1221    ...4     CW-30022-95       wire 22awg wht/grn                              218
1222    ...4     CW-30022-96       wire 22awg wht/blu                              213
1223    ...4     CW-30022-97       wire 22awg wht/vio                              259
1224    ...4     CW-30022-98       wire 22awg wht/gry                              295
1225    ...4     CW-30022-51       wire 22awg grn/brn                              203
1226    ...4     CW-30022-52       wire 22awg grn/red                              125
1227    ...4     CW-30022-53       wire 22awg grn/org                              154
1228    ...4     CW-30022-54       wire 22awg grn/yel                              177
1229    ...4     CW-30022-50       wire 22awg grn/blk                              254
1230    ...4     CW-30022-56       wire 22awg grn/blu                              198
1231    ...4     CW-30022-84       wire 22awg gry/yel                              126
1232    ...4     CW-30022-0        wire 22awg black                                122
1233    ...4     CW-30022-3        wire 22awg orange                               144
1234    ...4     CW-30022-05       wire 22awg blk/grn                              136
1235    ...4     CW-30022-06       wire 22awg blk/blu                              136
1236    ..3      5792-12116-09     9r mt/end 22/.100                                 2
1237    ..3      5792-12116-06     6r mt/end 22/.100                                 1
1238    ..3      5792-10817-04     4r mt/end 22/156                                  1
1239    ..3      5792-10847-07     7r mt/thru 22/156                                 1
1240    ..3      5792-10775-00     4R2004 03-06-1044                                 1
1241    ..3      5792-10773-00     2R11625 03-06-1023                                3
1242    ..3      5821-09079-00     pf1561 02-06-1101                                11
1243    ..3      5822-10872-06     term 22-18 TAB.110                               12
1244    ..3      5823-12119-00     plz key-mt .100                                   3
1245    ..3      5823-10820-00     "plz key mt .156"""                               3
1246    ..3      03-7520-2         tie wrap-nylon 3 7/8                             52
1247    ..3      5792-09125-00     1R1625 03-06-1011                                 1
1248    .2       H-15467           plfd lamp cable                                   1
1249    ..3      H-15467-C         plfd lamp cable cut-wire                          1
1250    ...4     CW-30022-41       wire 22awg yel/brn                              177
1251    ...4     CW-30022-42       wire 22awg yel/red                              137
1252    ...4     CW-30022-43       wire 22awg yel/org                              135
1253    ...4     CW-30022-40       wire 22awg yel/blk                              207
1254    ...4     CW-30022-45       wire 22awg yel/grn                              167
1255    ...4     CW-30022-46       wire 22awg yel/blu                              100
1256    ...4     CW-30022-47       wire 22awg yel/vio                               73
1257    ...4     CW-30022-48       wire 22awg yel/gry                              110
1258    ...4     CW-30022-21       wire 22awg red/brn                              264
1259    ...4     CW-30022-20       wire 22awg red/blk                              270
1260    ...4     CW-30022-23       wire 22awg red/org                              200
1261    ...4     CW-30022-24       wire 22awg red/yel                              270
1262    ...4     CW-30022-25       wire 22awg red/grn                              296
1263    ...4     CW-30022-26       wire 22awg red/blu                              290
1264    ...4     CW-30022-27       wire 22awg red/vio                              248
1265    ...4     CW-30022-28       wire 22awg red/gry                              265
1266    ...4     HW-30018-4        wire 18awg yellow                               148
1267    ...4     HW-30018-94       wire 18awg wht/yel                              148
1268    ...4     HW-30018-7        wire 18awg violet                               125
1269    ...4     HW-30018-97       wire 18awg wht/vio                              125
1270    ...4     HW-30018-3        wire 18awg orange                                38
1271    ...4     HW-30018-93       wire 18awg wht/org                               38
1272    ..3      5792-10818-11     11R mt/end 18/156                                 1
1273    ..3      5792-12116-09     9r mt/end 22/.100                                 1
1274    ..3      5792-10847-05     5r mt/thru 22/156                                 4
1275    ..3      5792-10847-07     7r mt/thru 22/156                                 3
1276    ..3      5792-10847-08     8r mt/thru 22/156                                 1
1277    ..3      5792-10847-09     9r mt/thru 22/156                                 1
1278    ..3      5823-10820-00     "plz key mt .156"""                              12
1279    ..3      5823-12119-00     plz key-mt .100                                   1
1280    ..3      03-7520-2         tie wrap-nylon 3 7/8                             46
1281    ..3      5821-09079-00     pf1561 02-06-1101                                18
1282    ..3      5820-09078-00     pm1560 02-06-2101                                 3
1283    ..3      5792-10847-06     6r mt/thru 22/156                                 1
1284    ..3      5792-10775-00     4R2004 03-06-1044                                 1
1285    ..3      5792-10771-00     3R11625 03-06-1032                                1
1286    ..3      5791-10770-00     3p11625 03-06-2032 nmt sm                         1
1287    ..3      5792-10910-00     4R1490 03-09-1042                                 1
1288    ..3      5821-09081-00     pf1189 02-09-1101                                 2
1289    ..3      5792-09139-00     9R1625 03-06-1092                                 1
1290    ..3      5792-10773-00     2R11625 03-06-1023                                1
1291    ..3      5821-13238-00     female pin  .093 18-22                            2
1292    ..3      5792-10817-09     9r mt/end 22/156                                  1
1293    .2       H-15468           plfd solenoid cable                               1
1294    ..3      H-15468-C         plfd solenoid cable- cut wire                     1
1295    ...4     CW-30022-71       wire 22awg vio/brn                              140
1296    ...4     CW-30022-72       wire 22awg vio/red                              115
1297    ...4     CW-30022-73       wire 22awg vio/org                              102
1298    ...4     CW-30022-74       wire 22awg vio/yel                              122
1299    ...4     CW-30022-75       wire 22awg vio/grn                              139
1300    ...4     CW-30022-76       wire 22awg vio/blu                               91
1301    ...4     CW-30022-70       wire 22awg vio/blk                               54
1302    ...4     CW-30022-78       wire 22awg vio/gry                               58
1303    ...4     CW-30022-10       wire 22awg brn/blk                              139
1304    ...4     CW-30022-12       wire 22awg brn/red                              138
1305    ...4     CW-30022-13       wire 22awg brn/org                               89
1306    ...4     CW-30022-14       wire 22awg brn/yel                              131
1307    ...4     CW-30022-15       wire 22awg brn/grn                              131
1308    ...4     CW-30022-16       wire 22awg brn/blu                               92
1309    ...4     CW-30022-17       wire 22awg brn/vio                              131
1310    ...4     CW-30022-18       wire 22awg brn/gry                               99
1311    ...4     CW-30022-01       wire 22awg blk/brn                               87
1312    ...4     CW-30022-02       wire 22awg blk/red                              103
1313    ...4     CW-30022-03       wire 22awg blk/org                              116
1314    ...4     CW-30022-04       wire 22awg blk/yel                              116
1315    ...4     CW-30022-65       wire 22awg blu/grn                              118
1316    ...4     CW-30022-60       wire 22awg blu/blk                              118
1317    ...4     CW-30022-67       wire 22awg blu/vio                              118
1318    ...4     CW-30022-61       wire 22awg blu/brn                              165
1319    ...4     CW-30022-62       wire 22awg blu/red                               84
1320    ...4     CW-30022-63       wire 22awg blu/org                              120
1321    ...4     CW-30022-64       wire 22awg blu/yel                              108
1322    ...4     HW-30018-73       wire 18awg vio/org                              397
1323    ...4     HW-30018-74       wire 18awg vio/yel                              328
1324    ...4     HW-30018-29       wire 18awg red/wht                              144
1325    ...4     HW-30018-84       wire 18awg gry/yel                              141
1326    ...4     HW-30018-64       wire 18awg blu/yel                              141
1327    ...4     HW-30018-35       wire 18awg org/grn                              139
1328    ...4     HW-30018-36       wire 18awg org/blu                              139
1329    ...4     HW-30018-67       wire 18awg blu/vio                              139
1330    ...4     HW-30018-68       wire 18awg blu/gry                              139
1331    ..3      5792-10818-06     6r mt/end 18/156                                  1
1332    ..3      5792-10818-13     13r mt/end 18/156                                 1
1333    ..3      5792-10817-09     9r mt/end 22/156                                  3
1334    ..3      5792-10817-13     13r mt/end 22/.156                                1
1335    ..3      5792-10847-07     7r mt/thru 22/156                                 1
1336    ..3      5792-09110-00     3R1396 03-09-1032                                 1
1337    ..3      5820-09078-00     pm1560 02-06-2101                                 1
1338    ..3      5821-09079-00     pf1561 02-06-1101                                 4
1339    ..3      5823-10820-00     "plz key mt .156"""                               9
1340    ..3      5792-10848-09     9r mt/thru 18/156                                 1
1341    ..3      5792-10817-03     3r mt end 22/156                                  1
1342    ..3      5792-10910-00     4R1490 03-09-1042                                 1
1343    ..3      5792-10773-00     2R11625 03-06-1023                                2
1344    ..3      5821-13238-00     female pin  .093 18-22                            3
1345    ..3      5821-09081-00     pf1189 02-09-1101                                 3
1346    ..3      03-7520-2         tie wrap-nylon 3 7/8                             59
1347    ..3      5791-09124-00     1P1625 03-06-2011                                 1
1348    .2       H-15653           50005-motor cable                                 1
1349    ..3      H-15653-C         50005-motor cable cut wire                        1
1350    ...4     CW-30022-2        wire 22awg red                                   20
1351    ...4     CW-30022-0        wire 22awg black                                 20
1352    ..3      5792-10817-02     2r mt end 22/156                                  1
1353    ..3      03-7520-2         tie wrap-nylon 3 7/8                              5
1354    .2       RM-27-07          "slit hose sleeve 1""-black"                     30
1355    .2       RM-21-02          #3 tubing .234 id                                 4
1356    .2       RM-21-03          #10 tubing .106id                                 3
1357    .2       01-3569-1         runway-ball return                                1
1358    .2       01-5575           brkt bottom arch mtg                              2
1359    .2       01-6933           deflector-eject hole                              1
1360    .2       01-8419           brkt playfield hanger                             2
1361    .2       01-9511-1         plate-nut                                         2
1362    .2       01-10379          brkt wheel cover                                  1
1363    .2       01-10438          brkt playfield mtg                                1
1364    .2       01-10489          brkt shooter ramp                                 1
1365    .2       01-10599          ball guide-long runway                            1
1366    .2       01-10621          plate-strike                                      1
1367    .2       01-10721          leg support                                       2
1368    .2       02-3905           post-#8 ws                                        3
1369    .2       02-4660           post-single bumper #10                            2
1370    .2       02-4659-1         post-#10 (3/8 deep ms top)                        3
1371    .2       02-4252-40        spacer f-f 6-32 x2 1/2 (1/4hex                    1
1372    .2       02-4657           post 6-32x 3.62 ramp mtg                          1
1373    .2       02-4424-1         post-fastner 6-32/8-32 ms                         5
1374    .2       02-4425-1         post fastner 8-32/8-32x5/8top                     2
1375    .2       02-4426-1         post-fastner #8 ws 6-32 top                       8
1376    .2       02-4426-2         post-fastner #8ws 6-32top                         2
1377    .2       02-4435           "post spacer #8X 1 3/16"""                        2
1378    .2       02-4433           "post spacer-#8x1 3/16"""                         2
1379    .2       02-4434           "post-spacer #8x1"""                              3
1380    .2       02-4658           post-double bumper #10                            1
1381    .2       02-4493           post double bumper-hex base                       1
1382    .2       02-4608           post-double bumper                                2
1383    .2       03-7351-1-9       shield eject tr-red                               1
1384    .2       03-7655-4         "clamp cable 1/4""dia"                            5
1385    .2       03-7655-8         "clamp cable 1/2""dia"                            2
1386    .2       03-7722-4         "clip-kwik 1/4""dia x 3/4""wide"                  1
1387    .2       03-8254-9         cap-jet bumper-tr red                             3
1388    .2       03-8365-16        post #8 trp-yellow                               14
1389    .2       03-8318-9         hood lite-dbl side stip tr-red                    4
1390    .2       03-8319-16        post #8 starred trp-yellow                       19
1391    .2       03-8371           spacer spool #8                                   2
1392    .2       03-8633           mount-level                                       1
1393    .2       10-128            spring-kicker                                     4
1394    .2       10-439            spring slide                                      2
1395    .2       11-1054-A         rail wood-1/2x 1 1/8 x 9 1/2                      1
1396    .2       11-1054-B         rail wood- 1/2 x1 1/8 x 10 1/2                    1
1397    .2       11-1054-C         rail wood- 1/2 x 1 1/8 x 20                       1
1398    .2       11-1054-D         rail wood- 1/2 x 1 1/8 x 41                       1
1399    .2       12-6466-10        ball guide 2 1/2                                  2
1400    .2       12-6542           gate-runway wire                                  1
1401    .2       12-7011           ramp-catapult                                     1
1402    .2       12-7024-1         ball guide                                        1
1403    .2       12-7024-2         ball guide                                        1
1404    .2       12-7033           ball guide                                        1
1405    .2       20-6500           ball-steel 1-1/16                                 1
1406    .2       20-9734-6         flipper euro w/shaft yellow                       2
1407    .2       20-8716-17        pin roll 1/8 x 3/4                                2
1408    .2       20-9691           level                                             1
1409    .2       23-6300           "white rubber ring 5/16"""                        4
1410    .2       23-6301           "white rubber ring 3/4"""                         3
1411    .2       23-6306           "white rubber ring 2 1/2"""                       4
1412    .2       23-6302           "white rubber ring 1"""                           3
1413    .2       23-6307           "white rubber ring 3"""                           1
1414    .2       23-6535           grommet-rubber white                              4
1415    .2       23-6556           rubber bumper sleeve-black                        3
1416    .2       23-6641-1         white rubber ring                                 7
1417    .2       36-50005          scrn plds w/hardcoat fishtales                    1
1418    ..3      31-1002-50005     plfd scrnd-fishtales                              1
1419    ...4     A-13769-50005     plfd & inserts assy-fishtales                     1
1420    ....5    03-8492-12        ins-circle 1.18 s/brst trp-org                    1
1421    ....5    03-8310-11        ins-rect 3/4x1-1/2 stp trp-grn                    4
1422    ....5    03-8493-9         "insert-round s/b  1"" trp-red"                   3
1423    ....5    03-8493-13        "insert round s/b  1""clear"                      2
1424    ....5    50-34-13          ins-rect 2.25 s/burst clear                       5
1425    ....5    03-8459-11        insert-diamond trp-grn                            6
1426    ....5    03-8359-18        insert-arrow 2 1/2 stp trp-vio                    2
1427    ....5    03-8491-9         "insert-arrow s/b  2"" trp-red"                   4
1428    ....5    03-8491-16        "insert-arrow s/b  2""trp-yellow"                 1
1429    ....5    03-7644-12        insert-arrow 1 1/2 s/b trp-org                    1
1430    ....5    4408-01118-00     nut 8-32 tee 3/8 l                                4
1431    ....5    03-8495-11        "ins-square s/brst 1"" trp-grn"                   3
1432    ....5    03-8489-11        ins-triang 1.18 s/brst trp-grn                    6
1433    ....5    03-8489-13        ins-triang 1.18 s/brst clear                      4
1434    ....5    03-8489-16        ins-triang 1.18 s/brst trp-yel                    6
1435    ..3      16-9265           label-playfield bar code                          1
1436    ..3      03-8674-2         mylar-fishtales jet bumper                        1
1437    ..3      03-8674-3         mylar fishtales-plfd/small                        1
1438    .2       31-1676-1         plfd plastic-fishtales                            1
1439    .2       31-1676-12        plfd plastic-fishtales                            1
1440    .2       31-1676-16        plfd plastic-fishtales                            1
1441    .2       31-1676-17        plfd plastic-fishtales                            1
1442    .2       31-1676-19        plfd plastic-fishtales                            1
1443    .2       31-1676-23        plfd plastic-fishtales                            1
1444    .2       31-1682-4         decal-playfield                                   1
1445    .2       4104-01020-08     sms #4X1/2 p-rh-ab                                6
1446    .2       4104-01001-06     sms #4X3/8 p-ph-a                                 2
1447    .2       4104-01042-08     sms #4X1/2 p-flh-a                                2
1448    .2       4106-01033-08     sms #6X1/2 p-tr-hd-a                             13
1449    .2       4108-01022-08     sms #8X1/2 p-rwh-a                                4
1450    .2       4106-01042-20     sms #6X1-1/4 p-flh-a                             25
1451    .2       4106-01019-06     sms #6X3/8 p-rh-a                                 4
1452    .2       4106-01115-06Y    sms #6x3/8 pl-hwh-yel                            44
1453    .2       4106-01114-08     tcs #6X1/2 pl-hwh t-17                          175
1454    .2       4700-00005-00     fw .141X.437X.032                                 6
1455    .2       4205-01041-14     ws #5X7/8 p-flh                                   6
1456    .2       4406-01118-00     nut 6-32 tee                                      6
1457    .2       4506-01104-20     sss 6-32X1 1/4                                    9
1458    .2       4008-01017-10     ms 8-32X5/8 p-rh-s                                7
1459    .2       4106-01115-16     sms #6X1 pl-hwh-a                                33
1460    .2       4408-01119-01     nut 8-32 esna/ntm                                12
1461    .2       4410-01132-01     nut 10-32 esna/ntm                                7
1462    .2       4700-00021-00     fw .203X.437X.032                                 9
1463    .2       4408-01118-00     nut 8-32 tee 3/8 l                               25
1464    .2       4406-01119-00     nut 6-32 esn                                     26
1465    .2       4008-01059-20     ms 8-32X1 1/4 sl-hwh                              4
1466    .2       4700-00011-00     fw .172X.437X.059                                17
1467    .2       4108-01001-24     sms #8X1 1/2 p-ph-a                               5
1468    .2       4108-01001-26     sms #8x1 5/8 p-ph-a                               9
1469    .2       4008-01005-28     ms 8-32X1-3/4 p-ph                                9
1470    .2       4006-01027-06     ms 6-32X3/8 p-rwh                                 7
1471    .2       4008-01017-08     ms 8-32X1/2 p-rh-s                                2
1472    .2       4006-01003-06     ms 6-32X3/8 p-ph-s                                2
1473    .2       4006-01017-08     ms 6-32x1/2 p-rh-s                                1
1474    .2       4106-01022-27     sms #6X1-11/16 p-rwh-a                            2
1475    1        50005-BB          fishtales backbox                                 1
1476    .2       A-12497           upper insert hinge assy                           1
1477    .2       A-12498           lower insert hinge assy                           1
1478    .2       A-12697-1         wpc power driver pcb assy                         1
1479    ..3      A-12697-1-AI      wpc power driver-auto insert                      1
1480    ...4     5763-12405-03     pcb-power driver                                  1
1481    ...4     5010-08981-00     res 10K 1/2W 5%                                   1
1482    ...4     5010-08991-00     res 4.7k 1/4w 5%                                 35
1483    ...4     5010-08992-00     res 560 1/4w 5%                                  13
1484    ...4     5010-08993-00     res 68  1/2W 5%                                  28
1485    ...4     5010-08997-00     res 2.7k 1/4w 5%                                 29
1486    ...4     5010-08998-00     res 2.2k 1/4w 5%                                  8
1487    ...4     5010-09034-00     res 10k 1/4w 5%                                  13
1488    ...4     5010-09085-00     res 1.5k 1/4w 5%                                  8
1489    ...4     5010-09086-00     res 6.8K 1/4W 5%                                  1
1490    ...4     5010-09224-00     res 270 1/4W 5%                                   9
1491    ...4     5010-09314-00     res 1.2K 1/4W 5%                                  8
1492    ...4     5010-09324-00     res 27k 1/4w 5%                                   1
1493    ...4     5010-09358-00     res 1k 1/4w 5%                                   13
1494    ...4     5010-09361-00     res 220 1/2W 5%                                   8
1495    ...4     5010-09416-00     res 470 1/4w 5%                                  28
1496    ...4     5010-09534-00     res 0ohm 0w                                       2
1497    ...4     5010-11079-00     res 51 1/4W 5%                                    5
1498    ...4     5010-12427-00     res .22ohm 1w 5%                                  8
1499    ...4     5043-08980-00     cap 0.01m 50v +80-20 axial                        7
1500    ...4     5043-08996-00     cap 0.1UF 50v +/-20 axial Z5U                     9
1501    ...4     5043-09845-00     cap 1kp 50v +/-20 axial                           2
1502    ...4     5048-10994-00     cap .33mfd 50v 20% axial Z5U                      1
1503    ...4     5070-08919-00     diode-1N4148 150ma                                2
1504    ...4     5070-09054-00     diode-1N4004 1.0a                                29
1505    ...4     5041-09163-00     cap 2.2mfd 15v +20% axial                         1
1506    ..3      16-8850-323       label-pcb assy id A-12697-1                       1
1507    ..3      4004-01005-06     ms 4-40X3/8 p-ph                                  5
1508    ..3      4006-01005-06     ms 6-32X3/8 p-ph                                  3
1509    ..3      4404-01119-00     nut 4-40 esn                                      5
1510    ..3      4406-01128-00     nut 6-32 keps                                     3
1511    ..3      4010-01006-10     ms 10-32X5/8 p-ph-s                               2
1512    ..3      5012-12632-00     res .12 ohm 10w 5%                                1
1513    ..3      5012-12238-00     res 3.3K 5W 10%                                   2
1514    ..3      5019-10143-00     sip res 470x9r                                    1
1515    ..3      5040-08986-00     cap 100M 10V +/-20 axial                          1
1516    ..3      5040-09421-00     cap 100m 25v +50-10 radial                        1
1517    ..3      5040-09537-00     cap 100M 100V +/-20 radial                        1
1518    ..3      5040-12313-00     cap 15KM 25V +-20% radial                         5
1519    ..3      5100-09690-00     brdg 35a rect 200v                                5
1520    ..3      5131-12725-00     triac BT138E 4 quad low gate                      5
1521    ..3      5162-12422-00     trans uln 2803 oc-drl                             1
1522    ..3      5162-12635-00     trans tip 102                                    36
1523    ..3      5191-12179-00     trans TIP36C pnp                                  8
1524    ..3      5192-12428-00     trans tip 107                                     8
1525    ..3      5194-09055-00     trans MPSD52 pnp                                 34
1526    ..3      5250-12634-00     reg LM 323 5V                                     1
1527    ..3      5281-09486-00     ic 74LS374 8 d f/f                                6
1528    ..3      5281-09487-00     ic 74LS74 dual d f/f                              4
1529    ..3      5281-10182-00     ic 74LS240 l/drvr                                 1
1530    ..3      5370-12272-00     ic LM339 quad comp                                3
1531    ..3      5460-12423-00     ic lm 7812                                        1
1532    ..3      5490-10892-00     ic opto isolator 4N25                             2
1533    ..3      5580-08994-01     relay 4PDT 6VDC5A VS                              1
1534    ..3      5671-09019-00     led dspl red                                      7
1535    ..3      5701-09652-00     thermal pad to-3                                  1
1536    ..3      5705-09199-00     h/sink 6030b                                      1
1537    ..3      5705-12637-00     h/sink                                            1
1538    ..3      5705-12638-00     h/sink 5298b                                      5
1539    ..3      5705-12698-00     h/sink #62365 avvd                                1
1540    ..3      5730-09071-00     fuse 8A 32V                                       1
1541    ..3      5730-09797-00     fuse 3/4A 250V                                    1
1542    ..3      5731-09651-00     fuse sb 5A 250V                                   7
1543    ..3      5731-09432-00     fuse sb 7A 250V                                   1
1544    ..3      5731-10356-00     fuse sb 3A 250V                                   6
1545    ..3      5733-12060-01     fuse hldr pc MT3AG                               16
1546    ..3      5791-10862-03     3h str sq pin .156                                3
1547    ..3      5791-10862-04     4h str sq pin .156                                4
1548    ..3      5791-10862-05     5h str sq pin .156                               10
1549    ..3      5791-10862-06     6h str sq pin .156                                1
1550    ..3      5791-10862-07     7h str sq pin .156                                3
1551    ..3      5791-10862-09     9h str sq pin .156                                8
1552    ..3      5791-10862-11     11h str sq pin .156                               2
1553    ..3      5791-10862-12     12h str sq pin.156                                1
1554    ..3      5791-10862-13     13h str sq pin .156                               1
1555    ..3      5791-12461-05     5h str sq pin .100                                1
1556    ..3      5791-12461-09     9h str sq pin .100                                3
1557    ..3      5791-12516-00     34 hdr 2x17 .100                                  1
1558    ..3      5824-09248-00     test point #1502-1                                8
1559    .2       A-12742-50005     wpc cpu assy                                      1
1560    ..3      A-12741-1         wpc cpu sub pcb assy                              1
1561    ...4     A-12741-1-AI      wpc cpu sub assy-auto insert                      1
1562    ....5    5764-12431-04     pcb-cpu wpc                                       1
1563    ....5    5010-09034-00     res 10k 1/4w 5%                                  29
1564    ....5    5010-09085-00     res 1.5k 1/4w 5%                                  6
1565    ....5    5010-09314-00     res 1.2K 1/4W 5%                                 16
1566    ....5    5010-09358-00     res 1k 1/4w 5%                                   26
1567    ....5    5010-09416-00     res 470 1/4w 5%                                   9
1568    ....5    5010-09534-00     res 0ohm 0w                                       9
1569    ....5    5010-10258-00     res 1M 1/4W 5%                                    2
1570    ....5    5010-10989-00     res 470K 1/4W 5%                                  1
1571    ....5    5010-12104-00     res 22M 1/4W 5%                                   1
1572    ....5    5043-08980-00     cap 0.01m 50v +80-20 axial                       16
1573    ....5    5043-09030-00     cap .047M 50V +/-20 axial                         1
1574    ....5    5043-09065-00     cap 470P 50V +/-20 axial                         24
1575    ....5    5043-09491-00     cap 22P 1KV +/-10 axial                           4
1576    ....5    5043-09492-00     cap 100p 50v +/-10 axial                          1
1577    ....5    5043-09845-00     cap 1kp 50v +/-20 axial                           2
1578    ....5    5048-11033-00     cap .022m 50v 10% axial                           1
1579    ....5    5070-08919-00     diode-1N4148 150ma                               17
1580    ....5    5070-09266-00     diode-1N5817 1.0a                                 2
1581    ...4     5019-09362-00     sip 4.7k 9r 10 5%                                 1
